,Player,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,game_number
0,Guna Ra,40.0,12,18,0,0,2,4,4,16,2,1,3,2,3,26,korea,2019-09-08,ivory-coast,2019090866,Classification,201966
1,Chan Hee Park,33.0,7,10,0,1,0,0,0,0,6,2,1,4,1,14,korea,2019-09-08,ivory-coast,2019090866,Classification,201966
2,Hoon Heo,25.0,6,13,4,7,0,0,0,1,3,1,0,1,2,16,korea,2019-09-08,ivory-coast,2019090866,Classification,201966
3,Heejong Yang,23.0,1,5,1,5,2,2,1,5,4,1,1,2,4,5,korea,2019-09-08,ivory-coast,2019090866,Classification,201966
4,Sangjae Kang,22.0,2,3,1,1,0,0,0,2,0,0,0,1,1,5,korea,2019-09-08,ivory-coast,2019090866,Classification,201966
5,Sunhyung Kim,22.0,2,9,2,4,0,0,0,3,4,1,0,3,2,6,korea,2019-09-08,ivory-coast,2019090866,Classification,201966
6,Seounghyun Lee,18.0,3,4,0,1,2,2,0,4,1,0,0,1,0,8,korea,2019-09-08,ivory-coast,2019090866,Classification,201966
7,Junyong Choi,17.0,0,2,0,2,0,0,1,1,3,0,1,1,1,0,korea,2019-09-08,ivory-coast,2019090866,Classification,201966
8,Totals,,33,64,8,21,6,8,6,32,23,6,6,15,14,80,korea,2019-09-08,ivory-coast,2019090866,Classification,201966
0,Charles Abouo,33.0,6,19,2,8,1,2,3,4,2,2,0,2,1,15,ivory-coast,2019-09-08,korea,2019090866,Classification,201966
1,Guy Edi,28.0,3,10,1,3,0,0,1,5,4,0,0,3,0,7,ivory-coast,2019-09-08,korea,2019090866,Classification,201966
2,Souleyman Diabate,27.0,5,12,1,4,1,1,3,6,2,1,0,2,1,12,ivory-coast,2019-09-08,korea,2019090866,Classification,201966
3,Vafessa Fofana,25.0,1,6,0,2,3,3,3,7,1,1,1,1,4,5,ivory-coast,2019-09-08,korea,2019090866,Classification,201966
4,Deon Thompson,21.0,3,9,1,3,0,0,1,4,1,1,1,4,1,7,ivory-coast,2019-09-08,korea,2019090866,Classification,201966
5,Mohamed Kone,19.0,2,4,0,0,0,0,3,5,1,0,0,0,0,4,ivory-coast,2019-09-08,korea,2019090866,Classification,201966
6,Bryan Pamba,14.0,4,7,2,3,2,2,1,2,1,1,0,1,0,12,ivory-coast,2019-09-08,korea,2019090866,Classification,201966
7,Tiegbe Bamba,10.0,2,3,0,0,1,2,1,1,0,0,0,0,1,5,ivory-coast,2019-09-08,korea,2019090866,Classification,201966
8,Frejus Zerbo,8.0,0,1,0,0,0,0,0,1,1,1,0,1,4,0,ivory-coast,2019-09-08,korea,2019090866,Classification,201966
9,Louis Cyrille Jean Benoit A Sie,8.0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,ivory-coast,2019-09-08,korea,2019090866,Classification,201966
10,Bali Coulibaly,7.0,1,3,0,0,2,2,2,2,0,0,0,0,0,4,ivory-coast,2019-09-08,korea,2019090866,Classification,201966
11,Totals,,27,75,7,24,10,12,18,37,13,7,2,14,13,71,ivory-coast,2019-09-08,korea,2019090866,Classification,201966
